2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectCatalog
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind NodeTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind PodSecurityPolicyTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind CisBenchmarkVersion
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectLogging
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ComposeConfig
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind EtcdBackup
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind GlobalRoleBinding
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterCatalog
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind CatalogTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterLogging
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Cluster
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind RkeK8sSystemImage
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectAlertRule
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterScan
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind RkeK8sServiceOption
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Group
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind NodeDriver
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind MonitorMetric
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind CatalogTemplateVersion
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectMonitorGraph
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterMonitorGraph
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectAlert
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind PodSecurityPolicyTemplateProjectBinding
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind KontainerDriver
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind DynamicSchema
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind GroupMember
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind MultiClusterApp
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterRegistrationToken
